model,oem,network_edge,weight,display_size,height,width,depth,battery,launch.year,launch.day,launch.month
C336,Motorola,No,80.0,,102.0,46.0,19.0,9.231221180711186,2002.0,,
C332,Motorola,No,84.0,,107.0,46.0,22.0,,2002.0,,
C331,Motorola,No,83.0,,101.0,48.0,21.0,,2002.0,,
V60i,Motorola,No,103.0,,87.0,45.0,24.0,9.453270634010623,2002.0,,11.0
Accompli 388,Motorola,No,130.0,,98.0,58.0,24.0,9.64565843240871,2002.0,,
V60,Motorola,No,109.0,,87.0,45.0,24.0,9.453270634010623,2001.0,,11.0
Accompli 008,Motorola,No,155.0,,98.0,60.0,28.0,,2002.0,,
Timeport 280,Motorola,No,109.0,,125.0,49.0,24.0,9.64565843240871,2001.0,,
V.box(V100),Motorola,No,83.0,,83.0,44.0,25.0,9.231221180711186,2000.0,,
StarTAC 130,Motorola,No,95.0,,94.0,55.0,19.0,8.968666793195208,1998.0,,
StarTAC 85,Motorola,No,112.0,,98.0,57.0,23.0,8.968666793195208,1997.0,,
StarTAC Rainbow,Motorola,No,112.0,,98.0,57.0,23.0,8.968666793195208,1997.0,,
StarTAC 75+,Motorola,No,112.0,,98.0,57.0,23.0,8.968666793195208,1997.0,,
StarTAC 75,Motorola,No,112.0,,98.0,57.0,23.0,8.968666793195208,1997.0,,
SlimLite,Motorola,No,141.0,,143.0,57.0,16.0,9.815383295813538,1997.0,,
cd930,Motorola,No,120.0,,129.0,55.0,27.0,9.967226258835993,1998.0,,
cd920,Motorola,No,120.0,,129.0,55.0,27.0,9.967226258835993,1998.0,,
M3188,Motorola,No,170.0,,140.0,50.0,25.0,9.453270634010623,1999.0,,
M3288,Motorola,No,170.0,,140.0,50.0,25.0,9.453270634010623,1999.0,,
M3588,Motorola,No,170.0,,140.0,50.0,25.0,9.453270634010623,1999.0,,
M3688,Motorola,No,170.0,,140.0,50.0,25.0,9.453270634010623,1999.0,,
M3788,Motorola,No,170.0,,140.0,50.0,25.0,9.453270634010623,1999.0,,
M3888,Motorola,No,170.0,,140.0,50.0,25.0,9.453270634010623,1999.0,,
Moto Z4 Force,Motorola,nan,,16.256,,,,,,,
Moto Z4 Play,Motorola,nan,,15.7988,,,,11.81418188419028,,,
P40,Motorola,nan,,15.748000000000001,160.1,71.2,8.7,12.01297364837454,,,
N401i,NEC,No,90.0,4.826,90.0,44.0,23.0,9.733015321685963,2005.0,,2.0
N343i,NEC,No,95.0,,109.0,43.0,12.7,9.64565843240871,2005.0,,5.0
N200,NEC,No,70.0,,70.0,51.0,18.6,,2005.0,,2.0
N923,NEC,No,70.0,,85.0,54.0,9.5,8.233619676759702,2004.0,,
N920,NEC,No,70.0,,85.0,54.0,9.6,,2004.0,,8.0
e338,NEC,nan,114.0,5.08,93.8,47.1,23.3,10.345405246717796,2004.0,,8.0
e228,NEC,nan,125.0,5.588000000000001,129.0,54.0,21.0,10.10459875356437,2004.0,,5.0
N410i,NEC,No,118.0,5.588000000000001,101.0,49.0,24.0,9.893301530860564,2004.0,,3.0
N400i,NEC,No,110.0,5.588000000000001,101.0,49.0,24.0,9.893301530860564,2004.0,,3.0
N331i,NEC,No,110.0,,101.0,48.0,24.0,9.453270634010623,2004.0,,3.0
N830,NEC,No,110.0,5.588000000000001,101.0,49.0,24.0,,2004.0,,5.0
N820,NEC,No,110.0,5.588000000000001,101.0,48.0,24.0,,2003.0,,11.0
e606,NEC,nan,145.0,,109.0,53.0,32.0,10.230020435705635,2003.0,,2.0
e232,NEC,No,90.0,,90.0,43.0,23.0,9.453270634010623,2003.0,,5.0
DB4100,NEC,No,99.0,,120.0,42.0,22.0,,2000.0,,
G9D+,NEC,No,200.0,,145.0,49.0,22.5,,1997.0,,
N1m,Neonode,No,94.0,5.588000000000001,88.0,52.0,21.0,10.10459875356437,2005.0,,2.0
C5 Endi,Nokia,nan,200.0,16.5608,171.7,76.7,8.9,11.966144913345602,2020.0,29.0,5.0
C2 Tennen,Nokia,nan,180.0,13.843,150.6,72.4,9.1,11.551227603598289,2020.0,29.0,5.0
C2 Tava,Nokia,nan,180.0,13.843,150.6,72.4,9.1,11.551227603598289,2020.0,29.0,5.0
150 (2020),Nokia,No,90.5,6.096,132.0,50.5,15.0,9.995767150877802,2020.0,12.0,5.0
125,Nokia,No,91.3,6.096,132.0,50.5,15.0,9.995767150877802,2020.0,12.0,5.0
8.3 5G,Nokia,nan,220.0,17.2974,171.9,78.6,9.0,12.136029849385551,2020.0,19.0,3.0
5.3,Nokia,nan,185.0,16.637,164.3,76.6,8.5,11.966144913345602,2020.0,19.0,3.0
1.3,Nokia,nan,155.0,14.503400000000001,147.3,71.2,9.4,11.551227603598289,2020.0,19.0,3.0
5310 (2020),Nokia,Yes,88.2,6.096,123.7,52.4,13.1,10.230020435705635,2020.0,19.0,3.0
2.3,Nokia,nan,183.0,15.748000000000001,157.7,75.4,8.7,11.966144913345602,2019.0,5.0,12.0
7.2,Nokia,nan,180.0,16.002,159.9,75.2,8.3,11.773551346428505,2019.0,5.0,9.0
6.2,Nokia,nan,180.0,16.002,159.9,75.1,8.3,11.773551346428505,2019.0,5.0,9.0
